verbLemma	surface_ditransitive_frequency	imputed_dative_frequency	imputed_DO_skew	nonDative_DO_skew
advance	357.14285714285717	52.73090005232863	0.03773584905660377	0.0049261083743842365
allocate	1171.4285714285716	915.8597598522167	0.07216494845360824	0.037037037037037035
allot	154.46428571428572	134.30740223111985	0.3375	0.3333333333333333
ask	11738.095238095239	10784.391534391534	0.963963963963964	1
assign	6165.178571428572	4773.011103479854	0.17708333333333334	0.10714285714285714
award	2889.5833333333335	2813.512652313673	0.42342342342342343	0.6666666666666666
barge	2.4390243902439024	0	NA	NA
bash	8.455284552845528	0.16260162601626016	0	0
bat	3.902439024390244	0	NA	NA
bequeath	139.88095238095238	134.97842617908407	0.10714285714285714	0.6666666666666666
bounce	37.79761904761905	9.226190476190476	0.03225806451612903	0.010416666666666666
bring	103648.80952380953	56326.514113507044	0.37333333333333335	0.03278688524590164
bunt	1.7886178861788617	0	NA	NA
bus	14.959349593495935	0	NA	0
cable	3.5772357723577235	0	NA	NA
carry	2945.2380952380954	305.2139843279084	0.02702702702702703	0
cart	79.16666666666667	0.8928571428571429	0	0
catapult	232.4404761904762	1.4880952380952381	0	0
cede	341.9642857142857	323.8095238095238	0.01639344262295082	0.14285714285714285
chuck	20.238095238095237	8.035714285714286	0.5555555555555556	0.12195121951219512
cite	22.023809523809526	10.714285714285715	0.25	0.15789473684210525
concede	138.6904761904762	130.2035330261137	0.04395604395604396	0
drag	1308.6309523809525	16.65300735678887	0.05	6.540222367560497e-4
drive	6186.011904761905	982.6455582232893	0	0
e-mail	485.7142857142857	470.08232743466544	0.4406779661016949	0.25
extend	6065.178571428572	3066.531577169875	0.0410958904109589	0
fax	267.5595238095238	257.3833573833574	0.248	0
feed	4086.011904761905	3325.6332705495997	0.7466666666666667	0.11764705882352941
ferry	186.30952380952382	2.3963133640553	0	0
flick	47.32142857142858	24.048913043478258	0.6119402985074627	0
fling	39.285714285714285	9.5238095238095255	0.3125	0.04
flip	186.01190476190476	44.099079025549614	0.34459459459459457	0.025210084033613446
float	51.48809523809524	19.047619047619047	0.1875	0.009174311926605505
fly	575.8928571428571	8.157611153979195	0.09090909090909091	0.0032916392363396972
forward	3310.714285714286	2700.2925053182785	0.05952380952380952	0.05263157894736842
give	466021.4285714286	416359.5851876576	0.8807339449541285	0.8461538461538461
grant	7798.214285714286	7667.023809523809	0.7295081967213115	0
guarantee	2152.0833333333335	1944.9552463665368	0.8854166666666666	0.8
hand	5199.107142857143	4953.360092651251	0.6416666666666667	0.8333333333333334
haul	392.5595238095238	8.630952380952381	0	0
heave	8.617886178861788	2.2764227642276422	0.07142857142857142	0.02564102564102564
heft	0.4878048780487805	0	NA	NA
hit	449.4047619047619	54.481589147286826	0.023255813953488372	0.002890173410404624
hoist	26.19047619047619	1.1904761904761905	0	0
hurl	25.595238095238095	3.571428571428571	0	0.013513513513513514
issue	2882.1428571428573	2753.1982774170274	0.1796875	0.16666666666666666
kick	252.97619047619048	29.16666666666667	0.14285714285714285	0.010638297872340425
lease	367.26190476190476	347.750429000429	0.04504504504504504	0.16666666666666666
leave	10055.357142857143	8573.485402829374	0.5287356321839081	0.07142857142857142
lend	5846.428571428572	4356.612989165828	0.25203252032520324	0.16666666666666666
loan	1557.142857142857	1423.0426716141003	0.47368421052631576	0.09090909090909091
lob	13.821138211382113	11.741902180926571	0.14516129032258066	0.09090909090909091
lug	52.083333333333336	0.2976190476190476	0	0
mail	2061.607142857143	1568.4419879062737	0.3473684210526316	0.06666666666666667
offer	83381.25	76066.7773098134	0.6785714285714286	0.5
owe	3597.0238095238096	3280.242469381	0.40963855421686746	0.5
pass	3282.7380952380954	2697.985347985348	0.0641025641025641	0
pay	27916.666666666668	24005.08008302005	0.189873417721519	0.07692307692307693
phone	8.455284552845528	2.6016260162601625	0.3125	0.2777777777777778
pitch	892.5595238095239	809.1757465698145	0.1016949152542373	0
pose	800	760.5313976735733	0.007874015748031496	0.16666666666666666
post	2774.107142857143	1857.4404761904764	0.08163265306122448	0
preach	301.48809523809524	294.3452380952381	0.024	0
promise	1830.654761904762	1729.7352070287852	0.8583333333333333	0.8571428571428571
pull	694.9404761904763	46.523644179894184	0.045454545454545456	0
punt	12.195121951219512	6.991869918699187	0	0
push	3861.607142857143	435.99603174603175	0	0
quote	381.54761904761904	320.1140873015873	0.8045977011494253	0.5882352941176471
radio	2.2764227642276422	0	NA	NA
read	1886.904761904762	1460.4296066252587	0.22727272727272727	0.1111111111111111
refund	394.9404761904762	367.1932234432235	0.6759259259259259	0.5
relay	609.8214285714286	557.8271265771266	0.009259259259259259	0
render	455.6547619047619	358.78893615962585	0.20930232558139536	0.17391304347826086
rent	583.6309523809524	502.0252613240418	0.17073170731707318	0
repay	85.71428571428572	76.1820818070818	0.27848101265822783	0.2
